name,score
The Park,7
Hitman: Episode 2,8.5
Hitman: Episode 2,8.5
Hearts of Iron IV,9
Hitman: Episode 3,6
Dangerous Golf,6
Dead Island: Definitive Collection,7
Dead Island: Definitive Collection,7
Odin Sphere Leifthrasir,9.5
Odin Sphere Leifthrasir,9.5
One Piece: Burning Blood,6.5
One Piece: Burning Blood,6.5
Hitman: Episode 2,8.5
Offworld Trading Company,8
The Walking Dead: Michonne -- Episode 3: What We Deserve,6.3
Severed,6.4
Battlefleet Gothic: Armada,7.1
Overwatch,9.4
Overwatch,9.4
Overwatch,9.4
Kirby: Planet Robobot,8
Fallout 4: Nuka World,7.9
Worms WMD,7.8
Attack on Titan,7.3
Master of Orion,7.1
King of Fighters XIV,8
Quadrilateral Cowboy,8.5
Fallout 4: Vault-Tec Workshop,8.2
Fru,8.5
Kentucky Route Zero: Act 4,8.5
Valley,5
Valley,5
F1 2016,8.8
F1 2016,8.8
F1 2016,8.8
Deus Ex: Mankind Divided,9.2
Deus Ex: Mankind Divided,9.2
Deus Ex: Mankind Divided,9.2
Metroid Prime: Federation Force,5.9
I Am Setsuna,7.5
Kerbal Space Program,9
Ghostbusters,4.4
Necropolis,6.5
7 Days to Die,4.9
Furi,6.8
Pokemon Go,7
Hitman: Episode 4,7.4
Hitman: Episode 4,7.4
Hitman: Episode 4,7.4
Grow Up,7.8
Madden NFL 17,8.6
No Man's Sky,6
Starcraft II: Nova Covert Ops -- Mission Pack 2,6.4
Pokemon Go,7
Carmageddon: Max Damage,5.4
Monster Hunter Generations,8
Song of the Deep,6
Tom Clancy's The Division -- Underground,5.8
BoxBoxBoy!,7.8
XCOM 2: Shen's Last Gift,8
Zero Time Dilemma,9.2
Zero Time Dilemma,9.2
Batman: The Telltale Series -- Episode 1: Realm of Shadows,7.5
Abzu,8.4
Starbound,9.1
Human Fall Flat,7.9
Tokyo Mirage Sessions #FE,7.6
LEGO Star Wars: The Force Awakens,9
Star Ocean: Integrity and Faithlessness,5.8
Inside,10
Inside,10
Resident Evil,8
Resident Evil,8
Resident Evil,8
Resident Evil,8
Saints Row IV: Re-Elected & Gat Out of Hell,7.8
Saints Row IV: Re-Elected & Gat Out of Hell,7.8
Blackguards 2,7.8
#IDARB,7.5
Assassin's Creed Unity -- Dead Kings,7.8
Funk of Titans,4
Sunset Overdrive,9
Sunset Overdrive -- Mystery of the Mooil Rig,8
Craft the World,6.2
Super Mega Baseball,8.1
Super Mega Baseball,8.1
Loadout,6.4
Evolve,9
Evolve,9
Evolve,9
Monster Hunter 4 Ultimate,9
Grow Home,8.8
Gravity Ghost,7.4
Apotheon,6.9
Chaos Heroes Online,5.6
The Legend of Zelda: Majora's Mask 3D,8.7
Raven's Cry,3
Game of Thrones: Episode 2 -- The Lost Lords,7
Life is Strange -- Episode 1: Chrysalis,6.5
Supreme League of Patriots,5.7
The Witcher Battle Arena,4.5
Assassin's Creed Chronicles: China,6.4
Assassin's Creed Chronicles: China,6.4
StarDrive 2,6.9
Grand Theft Auto V,10
I Am Bread,7.2
Grim Fandango Remastered,9.3
Grim Fandango Remastered,9.3
Grim Fandango Remastered,9.3
Dying Light,8.5
Dying Light,8.5
Dying Light,8.5
Grey Goo,7.6
Citizens of Earth,6.5
Citizens of Earth,6.5
White Night,5
Dragon Ball Xenoverse,6.7
OlliOlli 2: Welcome to OlliWood,9
OlliOlli 2: Welcome to OlliWood,9
Resident Evil Revelations 2 -- Episode 2,8
Screamride,8.2
Invisible Inc.,8.5
The Witcher 3: Wild Hunt,9.3
The Witcher 3: Wild Hunt,9.3
Mortal Kombat X,8.4
Mortal Kombat X,8.4
Titan Souls,8
Titan Souls,8
Titan Souls,8
MLB 15: The Show,8.5
Neverwinter,7.3
RBI Baseball 15,4.9
Xenoblade Chronicles,8.7
Resident Evil Revelations 2,7
Tales from the Borderlands -- Episode 2: Atlas Mugged,8.8
Mario Party 10,6.5
Resident Evil Revelations 2 -- Episode 4,6.8
Battlefield Hardline,8
Battlefield Hardline,8
Saints Row IV: Gat Out of Hell,7
Resident Evil,8
Halo 3: ODST [The Master Chief Collection],9
Elder Scrolls Online: Tamriel Unlimited,8
Elder Scrolls Online: Tamriel Unlimited,8
Heroes of the Storm,6.5
Heroes of the Storm,6.5
Audiosurf 2,7.5
Aaru's Awakening,6.7
Oblitus,7
Frozen Cortex,8.1
Homeworld Remastered Collection,9
Middle-earth: Shadow of Mordor: The Bright Lord,6.8
Resident Evil Revelations 2 -- Episode 1,7
Dead or Alive 5: Last Round,7
Dead or Alive 5: Last Round,7
Hand of Fate,7
The Witcher 3: Wild Hunt,9.3
Final Fantasy X / X-2 HD Remaster,9.3
Wolfenstein: The Old Blood,7
Wolfenstein: The Old Blood,7
Wolfenstein: The Old Blood,7
Project CARS,8.9
Final Fantasy: Record Keeper,6.2
Forza Horizon 2 Presents Fast & Furious,6.5
Axiom Verge,7.9
Pillars of Eternity,9
Dragon Age: Inquisition -- Jaws of Hakkon,7.5
Life is Strange -- Episode 2: Out of Time,7
Game of Thrones: Episode 3 -- The Sword in the Darkness,7.7
Borderlands: The Handsome Collection,8.4
Borderlands: The Handsome Collection,8.4
Final Fantasy Type-0 HD,8
Final Fantasy Type-0 HD,8
Sid Meier's Starships,6.5
Sid Meier's Starships,6.5
Helldivers,9
Helldivers,9
Helldivers,9
Mario vs. Donkey Kong: Tipping Stars,6.8
Mario vs. Donkey Kong: Tipping Stars,6.8
The Evil Within: The Executioner,6.5
Magicka 2,7.7
Magicka 2,7.7
Destiny: House of Wolves,7.5
Destiny: House of Wolves,7.5
Magnetic: Cage Closed,6.5
Hand of Fate,7
Sunless Sea,8.3
The Order: 1886,6.5
Kirby and the Rainbow Curse,8
Kick & Fennick,7.7
The Escapists,7.6
Midnight Star,6.5
Fahrenheit: Indigo Prophecy Remastered,6.2
Fahrenheit: Indigo Prophecy Remastered,6.2
Project CARS,8.9
Project CARS,8.9
Project CARS,8.9
Magicka: Wizard Wars,6.4
Shadowrun Chronicles: Boston Lockdown,6.5
BoxBoy!,8.2
Story of Seasons,8.4
Infinite Crisis,6.9
Broken Age: Act 2,9
Bloodborne,9.1
Borderlands: The Pre-Sequel -- Claptastic Voyage,8.4
The Evil Within: The Assignment,8.5
The Evil Within: The Assignment,8.5
Code Name S.T.E.A.M. -- Strike Team Eliminating the Alien Menace,7.9
Hotline Miami 2: Wrong Number,8.8
Cities: Skylines,8.5
Game of Thrones: Episode 4 -- Sons of Winter,8.2
Sunset,8
Sunset,8
Sunset,8
Puzzle & Dragons Z + Puzzle & Dragons Super Mario Bros. Edition,7.9
Life is Strange -- Episode 3: Chaos Theory,8
Life is Strange -- Episode 3: Chaos Theory,8
Life is Strange -- Episode 3: Chaos Theory,8
Knights of Pen & Paper II,7.8
Total War: Attila,8.1
Broken Age: Act 2,9
The Evil Within: The Consequence,7
State of Decay: Year One Survival Edition,8.9
Halo: Spartan Strike,7.2
Halo: Spartan Strike,7.2
Dungeons 2,5.2
Crypt of the Necrodancer,8.8
Resident Evil Revelations 2 -- Episode 3,7.5
DmC: Devil May Cry -- Definitive Edition,8.9
DmC: Devil May Cry -- Definitive Edition,8.9
Ori and The Blind Forest,8.5
Far Cry 4: Valley of the Yetis,7.6
Knights of Pen & Paper II,7.8
Attack on Titan: Humanity in Chains,4.9
Kerbal Space Program,9
Galactic Civilizations III,8.6
Rise of Incarnates,8
Rocket League,8
Rocket League,8
Batman: Arkham Knight -- Batgirl: A Matter of Family,6.3
Godzilla,4.5
Rory McIlroy PGA Tour,5.5
Everybody’s Gone to the Rapture,8.5
Beyond Eyes,5.5
Beyond Eyes,5.5
Rory McIlroy PGA Tour,5.5
God of War III Remastered,8.8
J-Stars Victory VS.+,5
Legends of Eisenwald,7.3
Massive Chalice,6.7
Whispering Willows,5.8
PayDay 2: Crimewave Edition,8.3
PayDay 2: Crimewave Edition,8.3
Her Story,8.5
Beyond Eyes,5.5
Submerged,6.8
Submerged,6.8
Etrian Odyssey 2 Untold: The Fafnir Knight,7.3
Angry Birds 2,6.7
Rare Replay,9
The Magic Circle,7.8
Tembo the Badass Elephant,7
Life is Strange -- Episode 4: Dark Room,6
Final Fantasy XIV Online: Heavensward,8.6
PlanetSide 2,7.6
Fallout Shelter,6.8
Devil May Cry 4 -- Special Edition,7.5
Devil May Cry 4 -- Special Edition,7.5
Tales from the Borderlands -- Episode 3:  Catch a Ride,9
Life is Strange -- Episode 4: Dark Room,6
Life is Strange -- Episode 4: Dark Room,6
F1 2015,5.8
King's Quest -- Episode 1: A Knight to Remember,8
King's Quest -- Episode 1: A Knight to Remember,8
Guild of Dungeoneering,7
Hatoful Boyfriend,8
Hatoful Boyfriend,8
The Vanishing of Ethan Carter,8.5
LEGO Jurassic World,7.6
Yoshi's Woolly World,7.4
Batman: Arkham Knight,9.2
Batman: Arkham Knight,9.2
Earthbound Beginnings,6.5
Journey,9
Game of Thrones: Episode 5 -- A Nest Of Vipers,6.5
F1 2015,4.8
Call of Duty: Black Ops III,7
Star Wars Battlefront,8
Star Wars Battlefront,8
Star Wars Battlefront,8
Fallout 4,9.5
Fallout 4,9.5
Fallout 4,9.5
Rise of the Tomb Raider,9.3
Rise of the Tomb Raider,9.3
Guild Wars 2: Heart of Thorns,7.6
Call of Duty: Black Ops III,9.2
Call of Duty: Black Ops III,9.2
Anno 2205,7
Yo-Kai Watch,7.2
Need for Speed,6.3
Darksiders II: Deathinitive Edition,7.5
Darksiders II: Deathinitive Edition,7.5
Minecraft: Story Mode -- Episode 2: Assembly Required,5.6
Minecraft: Story Mode -- Episode 2: Assembly Required,5.6
WWE 2K16,8.8
WWE 2K16,8.8
Warhammer: End Times -- Vermintide,7.2
Sword Coast Legends,5.5
Divinity: Original Sin -- Enhanced Edition,9
Divinity: Original Sin -- Enhanced Edition,9
Dirt Rally,8.9
Dirt Rally,8.9
SteamWorld Heist,8.8
Nuclear Throne,9
Sid Meier's Civilization: Beyond Earth -- Rising Tide,7.1
The Beginner's Guide,8
The Beginner's Guide,8
Disgaea 5: Alliance of Vengeance,8.7
NBA Live 16,6
NBA Live 16,6
The Room Three,9
Star Wars: The Old Republic -- Knights of the Fallen Empire,6.5
Xenoblade Chronicles X,8.2
Just Cause 3,5.9
Just Cause 3,5.9
Just Cause 3,8
Batman: Arkham Knight -- Catwoman's Revenge,6
Tom Clancy's Rainbow Six Siege,7.9
Tom Clancy's Rainbow Six Siege,7.9
Prison Architect,8.3
Cities: Skylines -- After Dark,6.5
Rock Band 4,8.8
Rock Band 4,8.8
Tony Hawk's Pro Skater 5,3.5
Expand,8
Might & Magic Heroes VII,6.4
Tom Clancy's Rainbow Six Siege,7.9
Minecraft: Story Mode -- Episode 3: The Last Place You Look,7.7
Bloodborne: The Old Hunters,8
StarCraft II: Legacy of the Void,8.9
Hard West,7.3
Animal Crossing: Amiibo Festival,5
Mario Tennis: Ultra Smash,4.8
Game of Thrones: Episode 6 -- The Ice Dragon,6.7
Sword Art Online: Lost Song,6
Uncharted: The Nathan Drake Collection,9
Jotun,8
NBA 2K16,9
LEGO Dimensions,7.7
Skylanders SuperChargers,8
Skylanders SuperChargers,8
Assault Android Cactus,8.8
Blood Bowl II,7.8
World of Warships,8.3
Halo 5: Guardians,9
Guitar Hero Live,7.9
Splatoon,8.6
Call of Duty: Black Ops III,7
Persona 4: Dancing All Night,8.4
Animal Crossing: Happy Home Designer,8
FIFA 16,7.8
Guitar Hero Live,7.9
Guitar Hero Live,7.9
Guitar Hero Live,7.9
Guitar Hero Live,7.9
Assassin's Creed Syndicate,8.2
Assassin's Creed Syndicate,8.2
Kingdom,7.7
The Legend of Zelda: Tri Force Heroes,8.5
Tales from the Borderlands -- Episode 5 The Vault of the Traveler,9
FIFA 16,7.8
Soma,8.1
Star Wars: Uprising,5.5
Destiny: The Taken King,9
Broforce,8.8
Fatal Frame: Maiden of the Black Water,7
Rebel Galaxy,8
Tales of Zestiria,7.8
Mushroom 11,9
Dragon Quest Heroes,6.2
Wasteland 2: Director's Cut,8.5
Wasteland 2: Director's Cut,8.5
Minecraft: Story Mode -- Episode 1: The Order of the Stone,7.3
Destiny: The Taken King,9
Lovers in a Dangerous Spacetime,8.5
NHL 16,7.8
NHL 16,7.8
Rugby League Live 3,6.5
Pro Evolution Soccer 2016,9.5
Steins;Gate,6.9
One Piece: Pirate Warriors 3,6.9
Lost Dimension,7
Disney Infinity: 3.0 Edition,8.9
Disney Infinity: 3.0 Edition,8.9
Dishonored: Definitive Edition,8
Dishonored: Definitive Edition,8
Lara Croft Go,8.5
Mega Man Legacy Collection,9
Minecraft: Story Mode -- Episode 1: The Order of the Stone,7.3
Chibi-Robo!: Zip Lash,5
The Witcher 3: Wild Hunt -- Hearts of Stone,9
Transformers: Devastation,7.7
Transformers: Devastation,7.7
Shadowrun: Hong Kong,8
Dragon Age: Inquisition -- Trespasser,7
Dragon Age: Inquisition -- Trespasser,7
Dragon Age: Inquisition -- Trespasser,7
Company of Heroes 2: The British Forces,8
Armello,5.6
Forza Motorsport 6,9
Rugby World Cup 2015,1.5
Tearaway Unfolded,7.6
Mega Man Legacy Collection,9
Mega Man Legacy Collection,9
Mega Man Legacy Collection,9
Madden NFL 16,8.8
Madden NFL 16,8.8
Until Dawn,7.5
Gears of War: Ultimate Edition,8.5
Super Mario Maker,9
Mad Max,8.4
Devil's Third,3.5
Metal Gear Solid V: The Phantom Pain,10
Metal Gear Solid V: The Phantom Pain,10
Metal Gear Solid V: The Phantom Pain,10
Zombi,7.5
Gauntlet: Slayer Edition,7.1
Gauntlet,7.1
Smite,8.5
Volume,8.1
Volume,8.1
Tales from the Borderlands -- Episode 4: Escape Plan Bravo,6
Dragon Age: Inquisition -- The Descent,6.3
Galak-Z,8.3
Insurgency,7.5
Tomb Raider: Definitive Edition,9.1
Tomb Raider: Definitive Edition,9.1
Consortium,7.2
Minecraft,9.5
Minecraft,9.5
KickBeat,6.5
OlliOlli,7.7
OlliOlli,7.7
Assassin's Creed Liberation HD,5.2
Assassin's Creed Liberation HD,5.2
Assassin's Creed Liberation HD,5.2
X-Men: Battle of the Atom,4
Broken Age: Act 1,9.5
Broken Age: Act 1,9.5
Joe Danger Infinity,8.6
Nidhogg,9
Continue?9876543210,7.9
The Banner Saga,8.6
Don't Starve,7.5
Don't Starve,7.5
Not the Robots,6.5
Halo: Spartan Assault,5.8
Zumba Fitness World Party,7.2
Metal Gear Rising: Revengeance,8.5
Dr. Luigi,7.5
"Sorcery Saga: The Curse of the Great Curry God (Hot and Spicy, Everything Nicey Limited Edition)",7.5
Sorcery Saga: The Curse of the Great Curry God,7.5
Rambo: The Video Game,3
Banished,8.3
Tales of Symphonia Chronicles,8
BandFuse: Rock Legends,8.2
BandFuse: Rock Legends,8.2
Horizon,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
Borderlands 2: Mad Moxxi and the Wedding Day Massacre,5.7
Lightning Returns: Final Fantasy XIII,7
Lightning Returns: Final Fantasy XIII,7
Flappy Bird,5.4
TxK,8.2
Toukiden: The Age of Demons,6.2
Strider,7.5
Strider,7.5
Strider,7.5
Strider,7.5
Strider,7.5
Earth Defense Force 2025,6.5
Earth Defense Force 2025,6.5
Flappy Bird,5.4
Flappy Bird,5.4
Dustforce,7.7
Dustforce,7.7
Jazzpunk,7
Dragon Ball Z: Battle of Z,6.6
Dragon Ball Z: Battle of Z,6.6
Dragon Ball Z: Battle of Z,6.6
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,8.5
Donkey Kong Country: Tropical Freeze,9
The Last of Us: Left Behind,9
Minecraft -- Pocket Edition,7.5
Minecraft -- Pocket Edition,7.5
League of Legends,9.2
League of Legends,9.2
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
The LEGO Movie Videogame,6.5
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,8.5
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,8.5
Unepic,7
The Castle Doctrine,4.5
Surge Deluxe,7.2
Rekoil,3
Fable Anniversary,8
Octodad: Dadliest Catch,7.8
Blackguards,7.8
The LEGO Movie Videogame,6.5
Might and Magic X Legacy,7.3
Titanfall,8.9
Final Fantasy X / X-2 HD Remaster,9.3
Final Fantasy X / X-2 HD Remaster (Limited Edition),9.3
Final Fantasy X / X-2 HD Remaster,9.3
Basement Crawl,3
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Walking Dead: Season Two -- Episode 2: A House Divided,9.5
The Witch and the Hundred Knight,5.8
South Park: The Stick of Truth,9
South Park: The Stick of Truth,9
South Park: The Stick of Truth,9
Thief,6.5
Thief,6.5
Castlevania: Lords of Shadow 2,6.5
Castlevania: Lords of Shadow 2,6.5
Castlevania: Lords of Shadow 2,6.5
Plants vs. Zombies: Garden Warfare,7.8
Thief,6.8
Thief,6.8
Thief,6.8
Rambo: The Video Game,3
Rambo: The Video Game,3
Deus Ex: The Fall,3
Professor Layton vs. Phoenix Wright,7.8
Luftrausers,8.7
Luftrausers,8.7
Infamous: Second Son,8.7
